2013-10-21 01:08:25 ERR (3): 20131021010825_528  {code:0}  {message:}  {file:C:\wamp\www\tonghoptruyen\library\Core\Utils.php:152}
#0 C:\wamp\www\tonghoptruyen\application\models\Worker\Test.php(25): Core_Utils::test()
#1 C:\wamp\www\tonghoptruyen\console.php(55): Application_Model_Worker_Test->start()
#2 {main}


2013-10-21 01:18:10 INFO (6): 20131021011810_84  begin get comic

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Get comics in url http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat

2013-10-21 01:18:10 INFO (6): 20131021011810_84  getContent  http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat  begin  

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Count = 1

2013-10-21 01:18:52 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Koimoku?id=7162","seo_name":"Koimoku","name":"Koimoku","source_id":"3","url":"koimoku","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:52 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:19:15 INFO (6): 20131021011915_59  begin get chap

2013-10-21 01:19:15 INFO (6): 20131021011915_59  Remain 21 items

2013-10-21 01:19:15 INFO (6): 20131021011915_59  getChapters  begin  {"id":"1","comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ichi-the-Killer---------?id=9002","source_id":"3","sid":null,"name":"Ichi the Killer","seo_name":"Ichi the Killer","url":"ichi-the-killer","feature_image":null,"feature_image_src":null,"author":null,"description":null,"meta_keywords":null,"meta_description":null,"main_cat":"1","fetch_type":"1","num_fetch":"0","num_fetch_error":"0","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10","last_grab_time":null,"status":"1"}  

2013-10-21 01:19:15 INFO (6): 20131021011915_59  getContent  http://truyen.vnsharing.net/Truyen/Ichi-the-Killer---------?id=9002&confirm=yes  begin  

2013-10-21 01:19:15 INFO (6): 20131021011915_59  Count = 1

2013-10-21 01:19:15 INFO (6): 20131021011915_59  getContent success  

